,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,BFSdist.0,Node.0,n.0,Vector.0,ToDo.0,int.0,indirConn.0,Node.1,n2.0,=.0,nan.0,for.0,Enumeration.0,es.0,=.1,n.1,adjEdges.0,elements.0,es.1,hasMoreElements.0,n2.1,=.2,n.2,adjNode.0,Edge.0,es.2,nextElement.0,if.0,n2.2,dist.0,<.0,0.0,n2.3,dist.1,=.3,n.3,dist.2,+.0,1.0,indirConn.1,n2.4,dist.3,++.0,// important add adds to the end of the list.200,ToDo.1,add.0,n2.5,if.1,ToDo.2,isEmpty.0,n2.6,=.4,Node.2,ToDo.3,remove.0,0.1,BFSdist.1,n2.7,ToDo.4,indirConn.2,code,participant_summary
0,136,BFSdist,44521080,1212082521597,20596911277,1,1,"(0.07905200868844986, 0.17153091728687286)","(0.09384892880916595, 0.15587876737117767)",1,1,2.4246978759765625,2.504791259765625,Fixation,POINT (0.0864504687488079 0.1637048423290253),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,BFSdist,44521080,1212082529931,20596919611,1,1,"(0.07700840383768082, 0.1629294604063034)","(0.08855114877223969, 0.16014263033866882)",1,1,2.4026336669921875,2.52569580078125,Fixation,POINT (0.0827797763049602 0.1615360453724861),,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,BFSdist,44521080,1212082538265,20596927945,1,1,"(0.08087959885597229, 0.16369619965553284)","(0.0893869623541832, 0.13541525602340698)",1,1,2.415512084960937,2.515533447265625,Fixation,POINT (0.0851332806050777 0.1495557278394699),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,BFSdist,44521080,1212082546598,20596936278,1,1,"(0.08260060101747513, 0.15521544218063354)","(0.08656188100576401, 0.14975802600383759)",1,1,2.425445556640625,2.5026397705078125,Fixation,POINT (0.0845812410116196 0.1524867340922356),,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,BFSdist,44521080,1212082554932,20596944612,1,1,"(0.08128707110881805, 0.15460315346717834)","(0.09452991932630539, 0.13940589129924774)",1,1,2.42657470703125,2.4954071044921875,Fixation,POINT (0.0879084952175617 0.147004522383213),,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,BFSdist,44521080,1212082563272,20596952952,1,1,"(0.08650276064872742, 0.15438589453697205)","(0.0948987677693367, 0.15829046070575714)",1,1,2.434921264648437,2.4967041015625,Fixation,POINT (0.0907007642090321 0.1563381776213646),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,BFSdist,44521080,1212082571605,20596961285,1,1,"(0.08297685533761978, 0.16416504979133606)","(0.09871779382228851, 0.1493849754333496)",1,1,2.417953491210937,2.50250244140625,Fixation,POINT (0.0908473245799542 0.1567750126123428),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,BFSdist,44521080,1212082579939,20596969619,1,1,"(0.07803353667259216, 0.16116228699684143)","(0.09658508747816086, 0.1482679545879364)",1,1,2.42266845703125,2.502044677734375,Fixation,POINT (0.0873093120753765 0.1547151207923889),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,BFSdist,44521080,1212082588272,20596977952,1,1,"(0.08519179373979568, 0.15689262747764587)","(0.09761987626552582, 0.1392880380153656)",1,1,2.4115753173828125,2.4852447509765625,Fixation,POINT (0.0914058350026608 0.1480903327465057),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,BFSdist,44521080,1212082596605,20596986285,1,1,"(0.08625082671642303, 0.15964996814727783)","(0.09745266288518906, 0.14898031949996948)",1,1,2.4171295166015625,2.490997314453125,Fixation,POINT (0.091851744800806 0.1543151438236237),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
