,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,private.0,void.0,init.0,_innerData.0,=.0,Collections.0,synchronizedMap.0,new.0,LinkedHashMap.0,String.0,Object.0,>.0,Iterator.0,Entry.0,<.2,String.1,Object.1,>.1,itr.0,=.1,_srcModel.0,entrySet.0,iterator.0,while.0,itr.1,hasNext.0,Entry.1,String.2,Object.2,>.3,entry.0,=.2,itr.2,next.0,_innerData.1,put.0,entry.1,getKey.0,entry.2,getValue.0,_srcListener.0,=.3,new.1,ListDataListener.0,public.1,void.1,onChange.0,ListDataEvent.0,event.0,onListDataChange.0,event.1,};	.0,_srcModel.1,addListDataListener.0,_srcListener.1,prewritten,accurate,missing,unnecessary,readable,code
0,136,init,43040436,1209072496833,17586897860,1,1,"(0.6779513955116272, 0.2065422087907791)","(0.670502781867981, 0.2340116947889328)",1,1,2.3740692138671875,2.2643585205078125,Fixation,POINT (0.6742270886898041 0.220276951789856),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072505170,17586906197,1,1,"(0.6775881052017212, 0.20653219521045685)","(0.6733903288841248, 0.23368284106254578)",1,1,2.3448486328125,2.251937866210937,Fixation,POINT (0.675489217042923 0.2201075181365013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072513503,17586914530,1,1,"(0.6789340972900391, 0.21200984716415405)","(0.6772698163986206, 0.22582556307315826)",1,1,2.3378448486328125,2.274017333984375,Fixation,POINT (0.6781019568443298 0.2189177051186562),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072521837,17586922864,1,1,"(0.6776281595230103, 0.20529551804065704)","(0.6825912594795227, 0.22580716013908386)",1,1,2.35894775390625,2.2667236328125,Fixation,POINT (0.6801097095012665 0.2155513390898704),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072530170,17586931197,1,1,"(0.6739253401756287, 0.20902584493160248)","(0.6805809736251831, 0.2278442084789276)",1,1,2.333526611328125,2.20782470703125,Fixation,POINT (0.6772531569004059 0.218435026705265),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072538503,17586939530,1,1,"(0.6689360737800598, 0.21324722468852997)","(0.670454740524292, 0.2323876917362213)",1,1,2.347442626953125,2.179595947265625,Fixation,POINT (0.6696954071521759 0.2228174582123756),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072588504,17586989530,1,1,"(0.2763079106807709, 0.1525934785604477)","(0.3034912347793579, 0.18262331187725067)",1,1,2.223114013671875,2.285400390625,,POINT (0.2898995727300644 0.1676083952188492),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,init,43040436,1209072638513,17587039539,1,1,"(0.11386922746896744, 0.12158793210983276)","(0.1067551001906395, 0.151274636387825)",1,1,2.315032958984375,2.2386016845703125,,POINT (0.1103121638298035 0.1364312842488289),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,init,43040436,1209072646847,17587047873,1,1,"(0.11078446358442307, 0.12484677881002426)","(0.10097011923789978, 0.14923331141471863)",1,1,2.2506256103515625,2.2551727294921875,Fixation,POINT (0.1058772914111614 0.1370400451123714),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,init,43040436,1209072655180,17587056206,1,1,"(0.11809376627206802, 0.1289987415075302)","(0.10068432241678238, 0.15253376960754395)",1,1,2.249420166015625,2.241302490234375,Fixation,POINT (0.1093890443444252 0.1407662555575371),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
