,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,refreshTreePanel.0,root.0,removeAllChildren.0,root.1,=.0,new.0,DefaultMutableTreeNode.0,"""ALL"".0",treeModel.0,=.1,new.1,DefaultTreeModel.0,root.2,tree.0,setModel.0,treeModel.1,tree.1,setBounds.0,new.2,Rectangle.0,0.0,0.1,196.0,443.0,tree.2,setLayout.0,nan.0,tree.3,setBackground.0,Color.0,white.0,tree.4,setCellRenderer.0,new.3,UserIconRenderer.0,addAllUsers.0,TreePath.0,treePath.0,=.2,tree.5,getPathForRow.0,0.2,tree.6,fireTreeExpanded.0,treePath.1,prewritten,accurate,missing,unnecessary,readable,code
0,136,refreshTreePanel,35553511,1208460615540,16975018258,1,1,"(0.6742587685585022, 0.23252779245376587)","(0.6700202226638794, 0.2426540106534958)",1,1,2.5408477783203125,2.507537841796875,Fixation,POINT (0.6721394956111908 0.2375909015536308),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,refreshTreePanel,35553511,1208460623873,16975026591,1,1,"(0.6733287572860718, 0.23538851737976074)","(0.6695369482040405, 0.2395467460155487)",1,1,2.529754638671875,2.465072631835937,Fixation,POINT (0.6714328527450562 0.2374676316976547),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,refreshTreePanel,35553511,1208460632207,16975034925,1,1,"(0.6761356592178345, 0.2263842523097992)","(0.6718833446502686, 0.24232321977615356)",1,1,2.517425537109375,2.480926513671875,Fixation,POINT (0.6740095019340515 0.2343537360429764),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,refreshTreePanel,35553511,1208460640547,16975043265,1,1,"(0.6743481159210205, 0.241171732544899)","(0.6733680963516235, 0.2364044338464737)",1,1,2.514007568359375,2.479965209960937,Fixation,POINT (0.673858106136322 0.2387880831956863),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,refreshTreePanel,35553511,1208460648880,16975051598,1,1,"(0.6754440069198608, 0.2368086725473404)","(0.6756637692451477, 0.23540762066841125)",1,1,2.503158569335937,2.459686279296875,Fixation,POINT (0.6755538880825043 0.2361081466078758),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,refreshTreePanel,35553511,1208460657213,16975059931,1,1,"(0.674500048160553, 0.2377767562866211)","(0.6734236478805542, 0.23148605227470398)",1,1,2.5165557861328125,2.454254150390625,Fixation,POINT (0.6739618480205536 0.2346314042806625),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,refreshTreePanel,35553511,1208460665547,16975068265,1,1,"(0.674903392791748, 0.23951466381549835)","(0.6748799681663513, 0.23045623302459717)",1,1,2.5240020751953125,2.476348876953125,Fixation,POINT (0.6748916804790497 0.2349854484200478),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,refreshTreePanel,35553511,1208460673880,16975076598,1,1,"(0.6742343306541443, 0.2403431534767151)","(0.6771328449249268, 0.22707237303256989)",1,1,2.5155029296875,2.4608917236328125,Fixation,POINT (0.6756835877895355 0.2337077632546425),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,refreshTreePanel,35553511,1208460682213,16975084931,1,1,"(0.6718373894691467, 0.24721190333366394)","(0.6693010330200195, 0.23374898731708527)",1,1,2.5427398681640625,2.4651031494140625,Fixation,POINT (0.6705692112445831 0.2404804453253746),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,refreshTreePanel,35553511,1208460690547,16975093265,1,1,"(0.6721771955490112, 0.23777373135089874)","(0.6812827587127686, 0.22733119130134583)",1,1,2.51983642578125,2.4744873046875,Fixation,POINT (0.6767299771308899 0.2325524613261223),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
