,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,close.0,Tabpanel.0,tempPanel.0,=.0,nan.0,View.0,tempView.0,=.1,nan.1,List.0,?.0,>.0,list.0,Enumeration.0,Tabbox.0,>.1,tabs.0,=.2,primaryTabMap.0,keys.0,while.0,tabs.1,hasMoreElements.0,list.1,=.3,tabs.2,nextElement.0,getTabpanels.0,getChildren.0,Iterator.0,?.1,>.2,itr.0,=.4,list.2,iterator.0,while.1,itr.1,hasNext.0,tempPanel.1,=.5,Tabpanel.1,itr.2,next.0,tempView.1,=.6,View.1,tempPanel.2,getChildren.1,get.0,0.0,tempView.2,deregisterView.0,prewritten,accurate,missing,unnecessary,readable,code
0,136,close,34413807,1208395854811,16910257689,1,1,"(0.08949277549982071, 0.44745153188705444)","(0.10286928713321686, 0.47074636816978455)",1,1,2.738433837890625,2.787582397460937,Fixation,POINT (0.0961810313165188 0.4590989500284195),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,close,34413807,1208395863144,16910266022,1,1,"(0.09187700599431992, 0.4547944962978363)","(0.10379670560359955, 0.4711928069591522)",1,1,2.7501678466796875,2.77716064453125,Fixation,POINT (0.0978368557989597 0.4629936516284943),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,close,34413807,1208395871478,16910274356,1,1,"(0.09085014462471008, 0.459307998418808)","(0.10313626378774643, 0.4600076377391815)",1,1,2.7421875,2.781478881835937,Fixation,POINT (0.0969932042062283 0.4596578180789948),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,close,34413807,1208395879811,16910282689,1,1,"(0.08384595811367035, 0.4759276807308197)","(0.10098744183778763, 0.47636669874191284)",1,1,2.749542236328125,2.763031005859375,Fixation,POINT (0.092416699975729 0.4761471897363663),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,close,34413807,1208395888148,16910291026,1,1,"(0.09300277382135391, 0.4826328158378601)","(0.1046525165438652, 0.48270922899246216)",1,1,2.7329254150390625,2.7729644775390625,Fixation,POINT (0.0988276451826096 0.4826710224151611),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,close,34413807,1208395896483,16910299360,1,1,"(0.10406676679849625, 0.4812537431716919)","(0.12123425304889679, 0.4770505130290985)",1,1,2.7673797607421875,2.77044677734375,Fixation,POINT (0.1126505099236965 0.4791521281003952),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,close,34413807,1208395904816,16910307693,1,1,"(0.10975120216608047, 0.4788094758987427)","(0.12324050068855286, 0.48489171266555786)",1,1,2.751007080078125,2.7643280029296875,Fixation,POINT (0.1164958514273167 0.4818505942821503),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,close,34413807,1208395913149,16910316026,1,1,"(0.1059960201382637, 0.4837154746055603)","(0.11695849150419235, 0.48346883058547974)",1,1,2.7409820556640625,2.769256591796875,Fixation,POINT (0.111477255821228 0.48359215259552),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,close,34413807,1208395921483,16910324360,1,1,"(0.1028619036078453, 0.48496192693710327)","(0.11684564501047134, 0.48698991537094116)",1,1,2.7282257080078125,2.77154541015625,Fixation,POINT (0.1098537743091583 0.4859759211540222),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,close,34413807,1208395929816,16910332693,1,1,"(0.10593364387750626, 0.47934794425964355)","(0.11571189761161804, 0.4871198534965515)",1,1,2.7412109375,2.754730224609375,Fixation,POINT (0.1108227707445622 0.4832338988780975),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,close,34413807,1208395938149,16910341026,1,1,"(0.1109049841761589, 0.46914321184158325)","(0.12050976604223251, 0.4800034463405609)",1,1,2.734039306640625,2.756500244140625,Fixation,POINT (0.1157073751091957 0.4745733290910721),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,close,34413807,1208395946483,16910349360,1,1,"(0.1104184165596962, 0.4765446186065674)","(0.12208680808544159, 0.48260363936424255)",1,1,2.720703125,2.7530059814453125,Fixation,POINT (0.1162526123225689 0.479574128985405),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,close,34413807,1208395954816,16910357693,1,1,"(0.10868459194898605, 0.4732142984867096)","(0.11938118189573288, 0.4840235114097595)",1,1,2.723251342773437,2.774383544921875,Fixation,POINT (0.1140328869223595 0.4786189049482346),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
