,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,boolean.0,equals.0,Object.0,obj.0,if.0,obj.1,==.0,nan.0,||.0,obj.2,getClass.0,!=.0,getClass.1,return.0,FALSE.0,CSSConditionalSelectorImpl.0,s.0,=.0,CSSConditionalSelectorImpl.1,obj.3,return.1,s.1,simpleSelector.0,equals.1,simpleSelector.1,&&.0,s.2,condition.0,equals.2,condition.1,code,participant_summary
0,136,equals,10222579,1211598252633,20112644290,1,1,"(0.14767195284366608, 0.18945959210395813)","(0.149271622300148, 0.16861683130264282)",1,1,2.442291259765625,2.439315795898437,Fixation,POINT (0.148471787571907 0.1790382117033005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598260966,20112652623,1,1,"(0.14729495346546173, 0.18609341979026794)","(0.14502406120300293, 0.16877664625644684)",1,1,2.44732666015625,2.4593048095703125,Fixation,POINT (0.1461595073342323 0.1774350330233574),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598269300,20112660957,1,1,"(0.14218658208847046, 0.1938304454088211)","(0.14840659499168396, 0.17867833375930786)",1,1,2.4409637451171875,2.464508056640625,Fixation,POINT (0.1452965885400772 0.1862543895840645),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598277633,20112669290,1,1,"(0.14237172901630402, 0.19879817962646484)","(0.15098026394844055, 0.17343994975090027)",1,1,2.451904296875,2.45098876953125,Fixation,POINT (0.1466759964823723 0.1861190646886826),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598285966,20112677623,1,1,"(0.14947021007537842, 0.18715530633926392)","(0.14867161214351654, 0.16867592930793762)",1,1,2.4551544189453125,2.42230224609375,Fixation,POINT (0.1490709111094475 0.1779156178236008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598294300,20112685957,1,1,"(0.14388999342918396, 0.18344064056873322)","(0.14468032121658325, 0.17380104959011078)",1,1,2.45330810546875,2.4670867919921875,Fixation,POINT (0.1442851573228836 0.178620845079422),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598310966,20112702623,1,1,"(0.11303737014532089, 0.2167556881904602)","(0.11686264723539352, 0.18707452714443207)",1,1,2.4365386962890625,2.44158935546875,Fixation,POINT (0.1149500086903572 0.2019151076674461),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598319300,20112710957,1,1,"(0.11266301572322845, 0.20988059043884277)","(0.11406417191028595, 0.185724675655365)",1,1,2.438140869140625,2.4571990966796875,Fixation,POINT (0.1133635938167572 0.1978026330471039),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598327633,20112719290,1,1,"(0.10641738772392273, 0.21178464591503143)","(0.11772250384092331, 0.19445693492889404)",1,1,2.440277099609375,2.4495391845703125,Fixation,POINT (0.112069945782423 0.2031207904219627),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598335966,20112727623,1,1,"(0.10346613824367523, 0.21295228600502014)","(0.11731785535812378, 0.19186480343341827)",1,1,2.4385986328125,2.466537475585937,Fixation,POINT (0.1103919968008995 0.2024085447192192),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598344300,20112735957,1,1,"(0.10738221555948257, 0.20719285309314728)","(0.11619310081005096, 0.19093352556228638)",1,1,2.45587158203125,2.454498291015625,Fixation,POINT (0.1117876581847668 0.1990631893277168),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598352633,20112744290,1,1,"(0.10596431791782379, 0.1946820616722107)","(0.11358810216188431, 0.18813227117061615)",1,1,2.45721435546875,2.474349975585937,Fixation,POINT (0.109776210039854 0.1914071664214134),,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598360967,20112752624,1,1,"(0.11105336993932724, 0.19581098854541779)","(0.11918389797210693, 0.18797586858272552)",1,1,2.4425811767578125,2.460205078125,Fixation,POINT (0.1151186339557171 0.1918934285640717),,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598369301,20112760958,1,1,"(0.10772699117660522, 0.195754736661911)","(0.11459930986166, 0.18792597949504852)",1,1,2.44891357421875,2.4922027587890625,Fixation,POINT (0.1111631505191326 0.1918403580784798),,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598377634,20112769291,1,1,"(0.1066974475979805, 0.21311040222644806)","(0.11399136483669281, 0.1831279844045639)",1,1,2.454132080078125,2.4709625244140625,Fixation,POINT (0.1103444062173366 0.198119193315506),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598385967,20112777624,1,1,"(0.10817328840494156, 0.2127898633480072)","(0.11533204466104507, 0.18107004463672638)",1,1,2.460357666015625,2.473358154296875,Fixation,POINT (0.1117526665329933 0.1969299539923668),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598394301,20112785958,1,1,"(0.10748697072267532, 0.209269180893898)","(0.11725796014070511, 0.1757090836763382)",1,1,2.4759063720703125,2.47125244140625,Fixation,POINT (0.1123724654316902 0.1924891322851181),,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598402634,20112794291,1,1,"(0.10574363172054291, 0.19974522292613983)","(0.11617825925350189, 0.18046875298023224)",1,1,2.472137451171875,2.474151611328125,Fixation,POINT (0.1109609454870224 0.190106987953186),,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598410967,20112802624,1,1,"(0.1055537611246109, 0.2047245055437088)","(0.11595982313156128, 0.1817169040441513)",1,1,2.46270751953125,2.4826202392578125,Fixation,POINT (0.1107567921280861 0.19322070479393),,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,
