,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,moveUpTarget.0,int.0,index.0,Object.0,target.0,=.0,targets.0,get.0,index.1,if.0,index.2,==.0,0.0,||.0,target.1,==.1,nan.0,return;.0,targets.1,set.0,index.3,targets.2,get.1,index.4,-.0,1.0,targets.3,set.1,index.5,-.1,1.1,target.2,log.0,debug.0,"""New ordering"".100",for.0,int.1,i.0,=.1,0.1,i.1,<.0,targets.4,size.0,i.2,log.1,debug.1,"""|t"".0",+.0,i.3,+.1,targets.5,get.2,i.4,prewritten,accurate,missing,unnecessary,readable,code
0,136,moveUpTarget,37762493,1208477416168,16991818835,1,1,"(0.09004316478967667, 0.33594322204589844)","(0.10362334549427032, 0.3781653642654419)",1,1,2.556304931640625,2.614288330078125,Fixation,POINT (0.0968332551419735 0.3570542931556702),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477424501,16991827168,1,1,"(0.08954679220914841, 0.34085163474082947)","(0.09390902519226074, 0.3688598573207855)",1,1,2.567596435546875,2.6072540283203125,Fixation,POINT (0.0917279087007046 0.3548557460308075),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477432834,16991835501,1,1,"(0.08969219028949738, 0.34204769134521484)","(0.09830164164304733, 0.37223297357559204)",1,1,2.5666046142578125,2.5846405029296875,Fixation,POINT (0.0939969159662724 0.3571403324604034),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477441168,16991843835,1,1,"(0.09006579220294952, 0.3632965385913849)","(0.10374081134796143, 0.3728085160255432)",1,1,2.58349609375,2.5983428955078125,Fixation,POINT (0.0969033017754555 0.368052527308464),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477449501,16991852168,1,1,"(0.08571404963731766, 0.3471744954586029)","(0.0995708703994751, 0.37064847350120544)",1,1,2.557846069335937,2.5867462158203125,Fixation,POINT (0.0926424600183964 0.3589114844799042),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477457835,16991860502,1,1,"(0.09181232750415802, 0.3496139645576477)","(0.09964734315872192, 0.38134315609931946)",1,1,2.5667724609375,2.6005096435546875,Fixation,POINT (0.09572983533144 0.3654785603284836),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477466168,16991868835,1,1,"(0.08781556040048599, 0.3478350043296814)","(0.10069319605827332, 0.3694034218788147)",1,1,2.561508178710937,2.592742919921875,Fixation,POINT (0.0942543782293796 0.358619213104248),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477474501,16991877168,1,1,"(0.09236011654138565, 0.35343489050865173)","(0.10490992665290833, 0.3800976574420929)",1,1,2.5800933837890625,2.603500366210937,Fixation,POINT (0.098635021597147 0.3667662739753723),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477482834,16991885501,1,1,"(0.09179802983999252, 0.35567906498908997)","(0.09354323893785477, 0.37081602215766907)",1,1,2.589950561523437,2.6029205322265625,Fixation,POINT (0.0926706343889236 0.3632475435733795),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477491167,16991893834,1,1,"(0.08410567045211792, 0.3451464772224426)","(0.101764015853405, 0.3746829628944397)",1,1,2.568939208984375,2.602081298828125,Fixation,POINT (0.0929348431527615 0.3599147200584412),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477499500,16991902167,1,1,"(0.08729732036590576, 0.3473409116268158)","(0.10379641503095627, 0.3717946410179138)",1,1,2.570831298828125,2.583602905273437,Fixation,POINT (0.095546867698431 0.3595677763223648),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477507833,16991910500,1,1,"(0.09563945233821869, 0.33688509464263916)","(0.11307118088006973, 0.37855783104896545)",1,1,2.568328857421875,2.5940704345703125,Fixation,POINT (0.1043553166091442 0.3577214628458023),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477516167,16991918834,1,1,"(0.10792418569326401, 0.3516558110713959)","(0.12642621994018555, 0.38024863600730896)",1,1,2.607025146484375,2.613632202148437,Fixation,POINT (0.1171752028167248 0.3659522235393524),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
