,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,String.0,getMessage.0,StringBuffer.0,sb.0,=.0,new.0,StringBuffer.1,if.0,messages.0,!=.0,nan.0,for.0,int.0,i.0,=.1,0.0,i.1,<.0,messages.1,size.0,i.2,Object.0,o.0,=.2,messages.2,elementAt.0,i.3,if.1,o.1,!=.1,nan.1,sb.1,append.0,o.2,toString.0,sb.2,append.1,"""|n"".0",return.0,sb.3,toString.1,prewritten,accurate,missing,unnecessary,readable,code
0,136,getMessage,51122387,1209070563431,17584964464,1,1,"(0.10873503237962723, 0.1455543041229248)","(0.1132035180926323, 0.15408721566200256)",1,1,2.502532958984375,2.4562225341796875,Fixation,POINT (0.1109692752361298 0.1498207598924637),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070571765,17584972797,1,1,"(0.11039379984140396, 0.1473637968301773)","(0.11710930615663528, 0.15957742929458618)",1,1,2.5045166015625,2.448974609375,Fixation,POINT (0.1137515529990196 0.1534706130623817),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070580098,17584981130,1,1,"(0.10275191068649292, 0.15234193205833435)","(0.12093585729598999, 0.15560407936573029)",1,1,2.4892578125,2.4586944580078125,Fixation,POINT (0.1118438839912415 0.1539730057120323),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070588432,17584989464,1,1,"(0.10377147793769836, 0.1562245935201645)","(0.1209227666258812, 0.15296374261379242)",1,1,2.4942779541015625,2.4541168212890625,Fixation,POINT (0.1123471222817898 0.1545941680669784),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070596765,17584997797,1,1,"(0.1082783043384552, 0.15273956954479218)","(0.11687936633825302, 0.15555453300476074)",1,1,2.478057861328125,2.439071655273437,Fixation,POINT (0.1125788353383541 0.1541470512747765),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070613432,17585014464,1,1,"(0.10786653310060501, 0.14720489084720612)","(0.11345241963863373, 0.15306152403354645)",1,1,2.5074615478515625,2.4391632080078125,,POINT (0.1106594763696194 0.1501332074403763),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070621765,17585022797,1,1,"(0.10962321609258652, 0.1527804136276245)","(0.11803917586803436, 0.14951647818088531)",1,1,2.4763641357421875,2.4348297119140625,Fixation,POINT (0.1138311959803104 0.1511484459042549),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070630098,17585031130,1,1,"(0.10311686247587204, 0.15804538130760193)","(0.11723607778549194, 0.15044255554676056)",1,1,2.50689697265625,2.4593963623046875,Fixation,POINT (0.110176470130682 0.1542439684271812),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070646765,17585047797,1,1,"(0.1001867726445198, 0.14786294102668762)","(0.11983560770750046, 0.15484371781349182)",1,1,2.4879302978515625,2.449432373046875,,POINT (0.1100111901760101 0.1513533294200897),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070655098,17585056130,1,1,"(0.10370803624391556, 0.14616376161575317)","(0.1135740652680397, 0.15941059589385986)",1,1,2.4976806640625,2.4657745361328125,Fixation,POINT (0.1086410507559776 0.1527871787548065),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070663432,17585064464,1,1,"(0.1102091446518898, 0.14591872692108154)","(0.11200128495693207, 0.15826143324375153)",1,1,2.523284912109375,2.455551147460937,Fixation,POINT (0.1111052148044109 0.1520900800824165),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070671771,17585072803,1,1,"(0.10344988107681274, 0.14805874228477478)","(0.1124967560172081, 0.15661627054214478)",1,1,2.488510131835937,2.47735595703125,Fixation,POINT (0.1079733185470104 0.1523375064134598),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070680104,17585081136,1,1,"(0.108845055103302, 0.13891369104385376)","(0.10842692106962204, 0.16309627890586853)",1,1,2.5138702392578125,2.45892333984375,Fixation,POINT (0.108635988086462 0.1510049849748612),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
