,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,private.0,void.0,configBalanceRanking.0,List.0,IResponseTO.0,>.0,responses.0,String.0,filePath.0,{	.0,PeerDAOFactory.0,getInstance.0,getAccountingDAO.0,loadBalancesRanking.0,filePath.1,long.0,frequence.0,=.0,AccountingConstants.0,RANKING_SAVING_FREQ.0,ScheduleActionWithFixedDelayResponseTO.0,to.0,=.1,new.0,ScheduleActionWithFixedDelayResponseTO.1,to.1,setActionName.0,PeerConstants.0,SAVE_ACCOUNTING_ACTION_NAME.0,to.2,setDelay.0,frequence.1,to.3,setTimeUnit.0,TimeUnit.0,SECONDS.0,responses.1,add.0,to.4,prewritten,accurate,missing,unnecessary,readable,code
0,136,configBalanceRanking,40778768,1208840079710,17354481430,1,1,"(0.11816833913326263, 0.2788674533367157)","(0.13580775260925293, 0.28332480788230896)",1,1,2.555450439453125,2.5319976806640625,Fixation,POINT (0.1269880458712578 0.2810961306095123),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
0,136,configBalanceRanking,40778768,1208840088043,17354489763,1,1,"(0.11837536096572876, 0.2799198627471924)","(0.1322605162858963, 0.2888314723968506)",1,1,2.548858642578125,2.5482177734375,Fixation,POINT (0.1253179386258125 0.2843756675720215),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,configBalanceRanking,40778768,1208840096376,17354498096,1,1,"(0.12307516485452652, 0.28395500779151917)","(0.13833370804786682, 0.2835477590560913)",1,1,2.5353546142578125,2.5347900390625,Fixation,POINT (0.1307044364511967 0.2837513834238052),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
0,136,configBalanceRanking,40778768,1208840104713,17354506433,1,1,"(0.1233411580324173, 0.2777298390865326)","(0.1407957524061203, 0.28885409235954285)",1,1,2.546356201171875,2.5254058837890625,Fixation,POINT (0.1320684552192688 0.2832919657230377),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
0,136,configBalanceRanking,40778768,1208840113046,17354514766,1,1,"(0.12854070961475372, 0.28661301732063293)","(0.1365502029657364, 0.28991058468818665)",1,1,2.5548858642578125,2.548828125,Fixation,POINT (0.1325454562902451 0.2882618010044098),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
0,136,configBalanceRanking,40778768,1208840121379,17354523099,1,1,"(0.12729935348033905, 0.28284820914268494)","(0.13620345294475555, 0.2849161922931671)",1,1,2.555282592773437,2.5349578857421875,Fixation,POINT (0.1317514032125473 0.283882200717926),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
0,136,configBalanceRanking,40778768,1208840129713,17354531433,1,1,"(0.12806707620620728, 0.2745611369609833)","(0.13612546026706696, 0.28634729981422424)",1,1,2.550048828125,2.5316619873046875,Fixation,POINT (0.1320962682366371 0.2804542183876038),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
0,136,configBalanceRanking,40778768,1208840138046,17354539766,1,1,"(0.134097620844841, 0.27881813049316406)","(0.1369430273771286, 0.2919691503047943)",1,1,2.560409545898437,2.534393310546875,Fixation,POINT (0.1355203241109848 0.2853936403989792),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,configBalanceRanking,40778768,1208840146379,17354548099,1,1,"(0.1334344446659088, 0.2807658612728119)","(0.13653059303760529, 0.2916039228439331)",1,1,2.542572021484375,2.5416717529296875,Fixation,POINT (0.134982518851757 0.2861848920583725),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,configBalanceRanking,40778768,1208840154713,17354556433,1,1,"(0.12805995345115662, 0.27567559480667114)","(0.1293427050113678, 0.2890070974826813)",1,1,2.545654296875,2.544189453125,Fixation,POINT (0.1287013292312622 0.2823413461446762),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
0,136,configBalanceRanking,40778768,1208840163046,17354564766,1,1,"(0.12740574777126312, 0.2733512818813324)","(0.13016816973686218, 0.29295098781585693)",1,1,2.546356201171875,2.5333709716796875,Fixation,POINT (0.1287869587540626 0.2831511348485947),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
