,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,testValidateSeparationCount.0,try.0,LinearDimension.0,validateSeparationCount.0,0.0,fail.0,catch.0,IllegalArgumentException.0,ex.0,// ok.200,try.1,LinearDimension.1,validateSeparationCount.1,-.0,2.0,fail.1,catch.1,IllegalArgumentException.1,ex.1,// ok.201,LinearDimension.2,validateSeparationCount.2,1.0,LinearDimension.3,validateSeparationCount.3,2988.0,code,participant_summary
0,136,testValidateSeparationCount,26285656,1212217851895,20732241039,1,1,"(0.15892519056797028, 0.2697884738445282)","(0.171865314245224, 0.24203649163246155)",1,1,2.40985107421875,2.3297576904296875,Fixation,POINT (0.1653952524065971 0.2559124827384949),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,testValidateSeparationCount,26285656,1212217860229,20732249373,1,1,"(0.15166951715946198, 0.25187093019485474)","(0.17777106165885925, 0.23896761238574982)",1,1,2.403717041015625,2.35333251953125,Fixation,POINT (0.1647202894091606 0.2454192712903023),,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,
0,136,testValidateSeparationCount,26285656,1212217868562,20732257706,1,1,"(0.151417076587677, 0.2708814740180969)","(0.1755008101463318, 0.24927961826324463)",1,1,2.393783569335937,2.364471435546875,Fixation,POINT (0.1634589433670044 0.2600805461406708),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,testValidateSeparationCount,26285656,1212217876895,20732266039,1,1,"(0.15789391100406647, 0.2603054344654083)","(0.1679963320493698, 0.2514037489891052)",1,1,2.4015045166015625,2.347412109375,Fixation,POINT (0.1629451215267181 0.2558545917272568),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,testValidateSeparationCount,26285656,1212217885229,20732274373,1,1,"(0.15359801054000854, 0.24859797954559326)","(0.1740902066230774, 0.2445191591978073)",1,1,2.404525756835937,2.3380889892578125,Fixation,POINT (0.163844108581543 0.2465585693717003),,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,
0,136,testValidateSeparationCount,26285656,1212217893562,20732282706,1,1,"(0.15321238338947296, 0.26704928278923035)","(0.17334143817424774, 0.2437320500612259)",1,1,2.395904541015625,2.3730621337890625,Fixation,POINT (0.1632769107818604 0.2553906664252281),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,testValidateSeparationCount,26285656,1212217901895,20732291039,1,1,"(0.1603996753692627, 0.2655731439590454)","(0.1690412312746048, 0.249343141913414)",1,1,2.4021453857421875,2.348968505859375,Fixation,POINT (0.1647204533219338 0.2574581429362297),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,testValidateSeparationCount,26285656,1212217910229,20732299373,1,1,"(0.15550290048122406, 0.2605983018875122)","(0.17010937631130219, 0.24479904770851135)",1,1,2.3840484619140625,2.3495025634765625,Fixation,POINT (0.1628061383962631 0.2526986747980118),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,testValidateSeparationCount,26285656,1212217918562,20732307706,1,1,"(0.15002453327178955, 0.24567033350467682)","(0.17269383370876312, 0.247065469622612)",1,1,2.3907470703125,2.3489990234375,Fixation,POINT (0.1613591834902763 0.2463679015636444),,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,
0,136,testValidateSeparationCount,26285656,1212217926895,20732316039,1,1,"(0.15188877284526825, 0.2512001395225525)","(0.17987284064292908, 0.23982642590999603)",1,1,2.38916015625,2.335601806640625,Fixation,POINT (0.1658808067440987 0.2455132827162743),,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,
